4,sedentary,The <blank> job had taken a toll on his health.
4,sedentary,She had warned against a <blank> lifestyle.
4,sedentary,His <blank> habits had been the subject of the doctor's lecture.
4,sedentary,The <blank> population had been urged to exercise.
4,sedentary,She had found the <blank> work dull.
4,sedentary,The <blank> existence had suited him.
4,sedentary,His <blank> occupation had been accountancy.
4,sedentary,The <blank> tribe had lived in the valley for centuries.
4,sedentary,She had tried to break her <blank> routine.
4,sedentary,The <blank> nature of the role had been made clear.
4,self-deprecating,The <blank> humour had charmed the audience.
4,self-deprecating,She had made a <blank> remark about her cooking.
4,self-deprecating,His <blank> manner had hidden his confidence.
4,self-deprecating,The <blank> tone had been typical of her.
4,self-deprecating,She had been <blank> about her achievements.
4,self-deprecating,The <blank> joke had broken the ice.
4,self-deprecating,His <blank> wit had been endearing.
4,self-deprecating,The <blank> comment had been meant to put others at ease.
4,self-deprecating,She had used <blank> humour throughout the speech.
4,self-deprecating,The <blank> style had been refreshing.
4,self-effacing,The <blank> servant had been the real hero.
4,self-effacing,She had been characteristically <blank> about her role.
4,self-effacing,His <blank> manner had hidden a fierce ambition.
4,self-effacing,The <blank> tribute had moved the crowd.
4,self-effacing,She had remained <blank> despite her success.
4,self-effacing,The <blank> style had been typical of the generation.
4,self-effacing,His <blank> modesty had been genuine.
4,self-effacing,The <blank> gesture had been appreciated.
4,self-effacing,She had written a <blank> introduction.
4,self-effacing,The <blank> nature of the contribution had been noted.
4,self-righteous,The <blank> tone had put her off.
4,self-righteous,She had been irritated by his <blank> attitude.
4,self-righteous,His <blank> sermon had been the last straw.
4,self-righteous,The <blank> letter had been left unanswered.
4,self-righteous,She had found the <blank> stance hard to bear.
4,self-righteous,The <blank> indignation had been misplaced.
4,self-righteous,His <blank> certainty had been infuriating.
4,self-righteous,The <blank> response had been predictable.
4,self-righteous,She had been accused of <blank> behaviour.
4,self-righteous,The <blank> tone had been unmistakable.
4,serendipity,The <blank> of the meeting had changed her life.
4,serendipity,She had put the discovery down to <blank>.
4,serendipity,His <blank> had been the chance encounter in the street.
4,serendipity,The <blank> had been pure.
4,serendipity,She had written about the role of <blank> in science.
4,serendipity,The <blank> had led to the breakthrough.
4,serendipity,His <blank> had been the wrong train that had taken him to the right place.
4,serendipity,The <blank> had been celebrated in the memoir.
4,serendipity,She had relied on <blank> more than once.
4,serendipity,The <blank> had been the best part of the trip.
4,serenity,The <blank> of the garden had calmed her.
4,serenity,She had sought <blank> in meditation.
4,serenity,His <blank> had been disturbed by the news.
4,serenity,The <blank> of the lake had been perfect.
4,serenity,She had found <blank> at last in the countryside.
4,serenity,The <blank> had been broken by a shout.
4,serenity,His <blank> had been legendary.
4,serenity,The <blank> of the scene had moved her to tears.
4,serenity,She had written of the <blank> of the monastery.
4,serenity,The <blank> had been short-lived.
4,severity,The <blank> of the sentence had been criticised.
4,severity,She had been shocked by the <blank> of the storm.
4,severity,His <blank> had been the result of the fever.
4,severity,The <blank> of the winter had been unprecedented.
4,severity,She had underestimated the <blank> of the illness.
4,severity,The <blank> of the punishment had been debated.
4,severity,His <blank> had been noted by the doctor.
4,severity,The <blank> of the crack had been assessed.
4,severity,She had been taken aback by the <blank> of his tone.
4,severity,The <blank> had been reduced on appeal.
4,significant,The <blank> finding had been published in the journal.
4,significant,She had made a <blank> contribution to the field.
4,significant,His <blank> other had been at the party.
4,significant,The <blank> increase had been welcomed.
4,significant,She had noted the <blank> absence of the chairman.
4,significant,The <blank> change had been the new clause.
4,significant,His <blank> look had said it all.
4,significant,The <blank> majority had voted in favour.
4,significant,She had found the difference <blank>.
4,significant,The <blank> moment had been captured on film.
4,silhouette,The <blank> had been visible against the sky.
4,silhouette,She had seen his <blank> in the doorway.
4,silhouette,His <blank> had been familiar even from a distance.
4,silhouette,The <blank> of the castle had dominated the hill.
4,silhouette,She had drawn the <blank> in charcoal.
4,silhouette,The <blank> had been striking.
4,silhouette,His <blank> had moved across the blind.
4,silhouette,The <blank> had been the work of a master.
4,silhouette,She had recognised the <blank> at once.
4,silhouette,The <blank> had been etched against the sunset.
4,solemnity,The <blank> of the occasion had been marked.
4,solemnity,She had been struck by the <blank> of the ceremony.
4,solemnity,His <blank> had been appropriate to the moment.
4,solemnity,The <blank> had been broken by a child's laugh.
4,solemnity,She had maintained the <blank> throughout.
4,solemnity,The <blank> of the oath had been stressed.
4,solemnity,His <blank> had been noted by the congregation.
4,solemnity,The <blank> had been fitting.
4,solemnity,She had felt the <blank> of the place.
4,solemnity,The <blank> had been preserved to the end.
